DEPT    CAL   CILD   CNSS    DT    DRHO   GR    RHOB    ILD    SP                                                                
   216.600    10.8980    28.3460   -99999.0   104.2520   -99999.0    44.1730   -99999.0    39.6850    39.0550 
   216.800    10.8030    25.1970   -99999.0   104.0940   -99999.0    42.5200   -99999.0    41.2600    37.7950 
   217.000    10.6460    25.1970   -99999.0   103.3070   -99999.0    39.9210   -99999.0    41.2600    36.5350 
   217.200    10.3310    23.6220   -99999.0   101.0240   -99999.0    39.4490   -99999.0    40.9450    35.9050 
   217.400    10.7400    25.1970   -99999.0   100.2361   -99999.0    39.4490   -99999.0    39.0549    34.9609 
   217.600    11.1180    28.3460   -99999.0   102.4410   -99999.0    39.2130   -99999.0    34.6460    34.9610 
   217.800    11.1340    31.4960   -99999.0   104.0940   -99999.0    38.2680   -99999.0    29.2910    34.6460 
   218.000    11.1500    34.6460   -99999.0   105.3540   -99999.0    37.5590   -99999.0    24.8820    35.2760 
   218.200    11.1500    39.3700   -99999.0   108.2680   -99999.0    43.4650   -99999.0    21.4170    36.2200 
   218.400    11.1500    42.5200   -99999.0   109.4490   -99999.0    50.3125   -99999.0    20.7871    38.1101 
   218.600    11.1500    42.5200   -99999.0   111.4960   -99999.0    52.4410   -99999.0    20.1570    38.1100 
   218.800    11.1180    42.5200   -99999.0   111.6540   -99999.0    54.8030   -99999.0    20.7870    38.7400 
   219.000    11.0870    44.0940   -99999.0   109.0550   -99999.0    52.9130   -99999.0    21.4170    39.0550 
   219.200    11.0240    40.9450   -99999.0   107.5590   -99999.0    48.4250   -99999.0    23.3070    39.3700 
   219.400    10.9760    37.7949   -99999.0   106.9290   -99999.0    45.8271   -99999.0    25.8271    40.0000 
   219.600    10.9610    34.6460   -99999.0   108.1100   -99999.0    45.1180   -99999.0    27.7170    40.3150 
   219.800    10.9760    34.6460   -99999.0   107.7170   -99999.0    44.8820   -99999.0    27.7170    40.6300 
   220.000    11.0710    34.6460   -99999.0   107.0080   -99999.0    42.9920   -99999.0    27.7170    40.3150 
   220.200    11.1970    33.0710   -99999.0   100.4720   -99999.0    40.3940   -99999.0    27.4020    39.6850 
   220.400    11.2760    33.0710   -99999.0    95.5078   -99999.0    38.9758   -99999.0    28.3459    39.3699 
   220.600    11.1020    33.0710   -99999.0    92.7560   -99999.0    38.7400   -99999.0    30.2360    38.7400 
   220.800    10.6930    34.6460   -99999.0    94.9610   -99999.0    40.8660   -99999.0    30.5510    38.1100 
   221.000    10.5040    33.0710   -99999.0   104.8030   -99999.0    43.2280   -99999.0    30.2360    37.7950 
   221.200    10.3310    29.9210   -99999.0   105.8270   -99999.0    48.4250   -99999.0    31.1810    36.5350 
   221.400    10.1570    25.1953   -99999.0   105.2759   -99999.0    52.2031   -99999.0    33.7009    35.2761 
   221.600    10.0630    28.3460   -99999.0   104.4090   -99999.0    52.9130   -99999.0    35.2760    35.2760 
   221.800    10.0630    31.4960   -99999.0   103.4650   -99999.0    53.1500   -99999.0    32.1260    35.5910 
   222.000    10.1260    48.8190   -99999.0   101.3390   -99999.0    52.2050   -99999.0    23.9370    36.2200 
   222.200    10.1890    92.9130   -99999.0   100.0790   -99999.0    51.7320   -99999.0    11.8110    36.8500 
   222.400    10.2830   125.9844   -99999.0   101.7319   -99999.0    52.6770   -99999.0     7.9688    38.7397 
   222.600    10.8030   157.4800   -99999.0   116.5350   -99999.0    53.6220   -99999.0     6.8350    40.6300 
   222.800    11.5590   176.3780   -99999.0   126.2990   -99999.0    59.2910   -99999.0     6.2360    41.8900 
   223.000    12.5200   179.5280   -99999.0   140.0000   -99999.0    68.0310   -99999.0     5.6380    43.1500 
   223.200    12.5510   182.6770   -99999.0   144.9610   -99999.0    68.5040   -99999.0     5.7010    43.4650 
   223.400    12.8352   154.3320   -99999.0   129.8438   -99999.0    67.3230   -99999.0     6.0471    43.7800 
   223.600    12.7090   116.5350   -99999.0   117.8740   -99999.0    62.3620   -99999.0     7.0550    43.7800 
   223.800    12.6770    83.4650   -99999.0   111.0240   -99999.0    58.1100   -99999.0     8.8190    43.7800 
   224.000    12.7240    70.8660   -99999.0   100.0790   -99999.0    52.9130   -99999.0    12.7240    43.7800 
   224.200    12.8350    56.6930   -99999.0    95.7480   -99999.0    47.2440   -99999.0    14.8660    43.4650 
   224.400    12.8190    53.5432   -99999.0    95.9838   -99999.0    46.0630   -99999.0    15.7800    42.8347 
